"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Sign_logFDR","pct1_pct2"
"Atp1b2",0.0920068545130887,0.470925572576792,0.073,0.054,1,0,0.019
"Pick1",0.105514851439094,0.381137875577441,0.077,0.058,1,0,0.019
"Ago2",0.159658361497242,0.308938390559121,0.103,0.084,1,0,0.019
"Pias2",0.195176223595597,0.235781243831497,0.119,0.1,1,0,0.019
"Prkacb",0.264991478919998,0.177566629886201,0.163,0.145,1,0,0.018
"Ranbp2",0.33672309638783,0.153498869924371,0.198,0.18,1,0,0.018
"Paip1",0.384603989465065,0.110950573541466,0.223,0.205,1,0,0.018
"Mest",0.000369946360710086,2.45642600288168,0.021,0.003,1,0,0.018
"Lepr",0.00212121208061692,1.69743410238547,0.025,0.007,1,0,0.018
"Med14",0.0276165373076857,0.79536052307473,0.041,0.023,1,0,0.018
"Cpox",0.0527759890910853,0.594895940673035,0.056,0.038,1,0,0.018
"Tfam",0.0559201340265885,0.5564217928584,0.057,0.039,1,0,0.018
"Mtf2",0.0673706503155634,0.468300103169969,0.061,0.043,1,0,0.018
"Fam107b",0.109713221584871,0.504789024443077,0.083,0.065,1,0,0.018
"Supt16",0.123854221867554,0.332178575834009,0.084,0.066,1,0,0.018
"Fmc1",0.128795037930073,0.34317002537842,0.077,0.059,1,0,0.018
