"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Sign_logFDR","pct1_pct2"
"Ciart",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Cntn6",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Col9a3",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Cspg5",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Dscaml1",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Efna2",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Efna3",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Ephb1",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Eya1",0.325193649985688,-0.953091357110333,0,0,1,0,0
"F8",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Fgl1",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Fut1",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Gck",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Gnat2",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Hoxa1",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Htr2a",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Il21",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Il27",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Kcng2",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Kif19a",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Lrrtm1",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Ly6k",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Muc1",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Ntf5",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Orm1",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Pde6g",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Pin1",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Plaat1",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Plin5",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Rapsn",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Rflna",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Rims2",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Sgca",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Slc14a1",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Slitrk1",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Spo11",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Taf6l",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Trim36",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Tshr",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Wnt3",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Xkr6",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Zfp750",0.325193649985688,-0.953091357110333,0,0,1,0,0
"Bfsp1",0.333232395194091,-0.953091357110333,0,0,1,0,0
"Dpysl5",0.333232395194091,-0.953091357110333,0,0,1,0,0
"Gdf7",0.333232395194091,-0.953091357110333,0,0,1,0,0
"Il10",0.333232395194091,-0.953091357110333,0,0,1,0,0
"Ly6h",0.333232395194091,-0.953091357110333,0,0,1,0,0
"Nod2",0.333232395194091,-0.953091357110333,0,0,1,0,0
"Nrcam",0.333232395194091,-0.953091357110333,0,0,1,0,0
"Pnkd",0.333232395194091,-0.953091357110333,0,0,1,0,0
"Ren1",0.333232395194091,-0.953091357110333,0,0,1,0,0
"Rxrg",0.333232395194091,-0.953091357110333,0,0,1,0,0
"Scn9a",0.333232395194091,-0.953091357110333,0,0,1,0,0
"Thpo",0.333232395194091,-0.953091357110333,0,0,1,0,0
"Zfp979",0.333345174876644,0.577423359588447,0,0,1,0,0
"Wnt6",0.334591090187341,-0.538053857831489,0,0,1,0,0
"Ncr1",0.335000699628344,0.430237282441173,0.001,0.001,1,0,0
"Grp",0.341396301867869,-0.760446279167937,0,0,1,0,0
"Unc13b",0.345647876436675,0.131177559787271,0.009,0.009,1,0,0
"Xrcc4",0.346302359887291,-0.0526270306612471,0.016,0.016,1,0,0
"Mmp12",0.346654803737921,0.450805584563311,0.002,0.002,1,0,0
"Polr1e",0.348648469904273,-0.0992620052532276,0.012,0.012,1,0,0
"Trib3",0.349681265058601,-0.605168053690026,0,0,1,0,0
"Tnfsf11",0.355387485213795,0.475751941693542,0.001,0.001,1,0,0
"Slc47a1",0.355502544396041,0.346468924748576,0.001,0.001,1,0,0
"Ntrk3",0.361744303477404,0.283947840190516,0.001,0.001,1,0,0
"Xcl1",0.368731664354823,-0.504106525908151,0.001,0.001,1,0,0
"Map6",0.370030780808076,0.494367619860888,0,0,1,0,0
"Gzmb",0.373807499041519,0.476896483634482,0.002,0.002,1,0,0
"Mafk",0.381683570288787,-0.0849073113450158,0.015,0.015,1,0,0
"Ccr9",0.382079220714201,-0.538053857831489,0,0,1,0,0
"Cyp26b1",0.382079220714201,-0.538053857831489,0,0,1,0,0
"Npc1l1",0.38364992266652,0.302165698131741,0.001,0.001,1,0,0
"Apc2",0.391748807375319,0.783874237055873,0,0,1,0,0
"Cbln1",0.391748807375319,0.783874237055873,0,0,1,0,0
"Celsr3",0.391748807375319,0.783874237055873,0,0,1,0,0
"Klrd1",0.391748807375319,0.783874237055873,0,0,1,0,0
"Pde4c",0.391748807375319,0.783874237055873,0,0,1,0,0
"Spdl1",0.391748807375319,0.783874237055873,0,0,1,0,0
"Twnk",0.391748807375319,0.783874237055873,0,0,1,0,0
